21.04.2015                     Dynamic List Display                            1
--------------------------------------------------------------------------------
-----------------------------------------------------------------------
|  INFOCUBE     |OBJVERS|POSIT|PARTCUBE     |DELTAPROV|DELTAPAIRCLASNM|
-----------------------------------------------------------------------
|  /CPMB/ATMKOOE|A      |    1|/CPMB/ATIKOOK|         |               |
|  /CPMB/ATMKOOE|M      |    1|/CPMB/ATIKOOK|         |               |
|  /CPMB/ATMRCJO|A      |    1|/CPMB/ATIRCJO|         |               |
|  /CPMB/ATMRCJO|M      |    1|/CPMB/ATIRCJO|         |               |
|  /CPMB/K1MA4YL|A      |    1|/CPMB/K1IA4YL|         |               |
|  /CPMB/K1MA4YL|M      |    1|/CPMB/K1IA4YL|         |               |
|  /CPMB/K1MCT1B|A      |    1|/CPMB/K1ICT1B|         |               |
|  /CPMB/K1MCT1B|M      |    1|/CPMB/K1ICT1B|         |               |
|  /CPMB/K1MQMHG|A      |    1|/CPMB/K1IQMHG|         |               |
|  /CPMB/K1MQMHG|M      |    1|/CPMB/K1IQMHG|         |               |
|  /CPMB/K1MTX2D|A      |    1|/CPMB/K1ITX2D|         |               |
|  /CPMB/K1MTX2D|M      |    1|/CPMB/K1ITX2D|         |               |
|  /CPMB/SKMG5GP|A      |    1|/CPMB/SKIG5GP|         |               |
|  /CPMB/SKMG5GP|M      |    1|/CPMB/SKIG5GP|         |               |
|  /CPMB/SKMIUQQ|A      |    1|/CPMB/SKIIUQC|         |               |
|  /CPMB/SKMIUQQ|M      |    1|/CPMB/SKIIUQC|         |               |
|  /CPMB/SKMK7SP|A      |    1|/CPMB/SKIK7SP|         |               |
|  /CPMB/SKMK7SP|M      |    1|/CPMB/SKIK7SP|         |               |
|  /CPMB/SKMMTTL|A      |    1|/CPMB/SKIMTTN|         |               |
|  /CPMB/SKMMTTL|M      |    1|/CPMB/SKIMTTN|         |               |
|  /CPMB/SKMRCSR|A      |    1|/CPMB/SKIRCSR|         |               |
|  /CPMB/SKMRCSR|M      |    1|/CPMB/SKIRCSR|         |               |
|  /CPMB/SKMU7AZ|A      |    1|/CPMB/SKIU7AZ|         |               |
|  /CPMB/SKMU7AZ|M      |    1|/CPMB/SKIU7AZ|         |               |
|  /CPMB/SKMV1IB|A      |    1|/CPMB/SKIV1IB|         |               |
|  /CPMB/SKMV1IB|M      |    1|/CPMB/SKIV1IB|         |               |
|  /CPMB/SZMBVQE|A      |    1|/CPMB/SZIBVQE|         |               |
|  /CPMB/SZMBVQE|M      |    1|/CPMB/SZIBVQE|         |               |
|  /CPMB/SZMRXDS|A      |    1|/CPMB/SZIRXDS|         |               |
|  /CPMB/SZMRXDS|M      |    1|/CPMB/SZIRXDS|         |               |
|  0AFSDMP01    |D      |    1|0AFSD_C01    |         |               |
|  0AF_MC01     |D      |    1|0AFMM_C01    |         |               |
|  0AF_MC01     |D      |    2|0AFMM_C02    |         |               |
|  0AF_MC01     |D      |    3|0AFSD_C01    |         |               |
|  0ALM_MC01    |D      |    1|0ALM_C01     |         |               |
|  0ALM_MC01    |D      |    2|0FIGL_C01    |         |               |
|  0APO_MC01    |D      |    1|0APO_C02     |         |               |
|  0APO_MC01    |D      |    2|0PP_C01      |         |               |
|  0APO_MC02    |D      |    1|0APO_C07     |         |               |
|  0APO_MC02    |D      |    2|0SD_C11      |         |               |
|  0APO_MP03    |D      |    1|0APO_C02     |         |               |
|  0APO_MP04    |D      |    1|0APO_C07     |         |               |
|  0APO_MP05    |D      |    1|0APO_C10     |         |               |
|  0APO_MP06    |D      |    1|0APO_C11     |         |               |
|  0APO_MP07    |D      |    1|0APO_C12     |         |               |
|  0AS_MC01     |D      |    1|0AS_C01      |         |               |
|  0AS_MC02     |D      |    1|0AS_C02      |         |               |
|  0AS_MC03     |D      |    1|0AS_C01      |         |               |
|  0AS_MC03     |D      |    2|0PA_C01      |         |               |
|  0AUPPC_3     |D      |    1|0AUPPC_1     |         |               |
|  0AUPPC_3     |D      |    2|0AUPPC_2     |         |               |
|  0BADRMC01    |D      |    1|0BADR_C01    |         |               |
|  0BADRMC01    |D      |    2|0BADR_C04    |         |               |
|  0BADRMC01    |D      |    3|0BADR_C06    |         |               |
|  0BADRMC01    |D      |    4|0BADR_C07    |         |               |
|  0BADRMC02    |D      |    1|0BADR_C01    |         |               |
|  0BADRMC02    |D      |    2|0BADR_C04    |         |               |
|  0BADRMC02    |D      |    3|0BADRDS03    |         |               |
|  0BADRMC21    |D      |    1|0BADRDS26    |         |               |
|  0BADRMC21    |D      |    2|0BADRDS27    |         |               |
|  0BADRMC21    |D      |    3|0BADR_C01    |         |               |
|  0BADRMC21    |D      |    4|0BADR_C04    |         |               |
|  0BADRMC21    |D      |    5|0BADR_C06    |         |               |
|  0BADRMC21    |D      |    6|0BADR_C21    |         |               |
|  0BADRMC21    |D      |    7|0BADR_C24    |         |               |
|  0BADRMC21    |D      |    8|0BADR_C07    |         |               |
|  0BADRMC21    |D      |    9|0BADR_C25    |         |               |
|  0BADRMC22    |D      |    1|0BADRDS22    |         |               |
|  0BADRMC22    |D      |    2|0BADR_C01    |         |               |
|  0BADRMC22    |D      |    3|0BADR_C04    |         |               |
|  0BADRMC22    |D      |    4|0BADR_C06    |         |               |
|  0BADRMC22    |D      |    5|0BADR_C24    |         |               |
|  0BADRMC22    |D      |    6|0BADR_C07    |         |               |
|  0BAFD_MP1    |D      |    1|0BA_FDC03    |         |               |
|  0BAFD_MP1    |D      |    2|0BA_FDV04    |         |               |
|  0BAPAMP01    |D      |    1|0BAPA_C01    |         |               |
|  0BAPAMP01    |D      |    2|0BAPA_C02    |         |               |
|  0BAPAMP02    |D      |    1|0BAPA_C03    |         |               |
|  0BAPAMP02    |D      |    2|0BAPA_C04    |         |               |
|  0BAPAMP02    |D      |    3|0BAPA_C05    |         |               |
|  0BA_MC01     |D      |    1|0BA_C01      |         |               |
|  0BA_MC10     |D      |    1|0BA_FDC04    |         |               |
|  0BA_MC10     |D      |    2|0BA_FDV01    |         |               |
|  0BA_MC2      |D      |    1|0BA_FDC01    |         |               |
|  0BA_MC2      |D      |    2|0BA_FDC02    |         |               |
|  0BBP_MP01    |D      |    1|0BBP_C01     |         |               |
|  0BBP_MP02    |D      |    1|0BBP_DS1     |         |               |
|  0BBP_MP03    |D      |    1|0SRCT_DS1    |         |               |
|  0BCS_MP21    |D      |    1|0BCS_C21     |         |               |
|  0BCS_MP21    |D      |    2|0BCS_VC11    |         |               |
|  0BWTC_C10    |A      |    1|0BWTC_C02    |         |               |
|  0BWTC_C10    |A      |    2|0BWTC_C03    |         |               |
|  0BWTC_C10    |A      |    3|0BWTC_C04    |         |               |
|  0BWTC_C10    |A      |    4|0BWTC_C05    |         |               |
|  0BWTC_C10    |A      |    5|0BWTC_C09    |         |               |
|  0BWTC_C10    |A      |    6|0BWTC_C11    |         |               |
|  0BWTC_C10    |D      |    1|0BWTC_C02    |         |               |
