21.04.2015                                     Dynamic List Display                                             1
-----------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------
|  LANGU|INFOCUBE     |OBJVERS|TXTSH               |TXTLG                                                       |
-----------------------------------------------------------------------------------------------------------------
|  E    |/CPMB/ATIKOOK|A      |PLANNING            |PLANNING                                                    |
|  E    |/CPMB/ATIKOOK|M      |PLANNING            |PLANNING                                                    |
|  E    |/CPMB/ATIRCJO|A      |RATE                |RATE                                                        |
|  E    |/CPMB/ATIRCJO|M      |RATE                |RATE                                                        |
|  E    |/CPMB/ATMKOOE|A      |PLANNING            |PLANNING                                                    |
|  E    |/CPMB/ATMKOOE|M      |PLANNING            |PLANNING                                                    |
|  E    |/CPMB/ATMRCJO|A      |RATE                |RATE                                                        |
|  E    |/CPMB/ATMRCJO|M      |RATE                |RATE                                                        |
|  E    |/CPMB/K1IA4YL|A      |PLANNING            |PLANNING                                                    |
|  E    |/CPMB/K1IA4YL|M      |PLANNING            |PLANNING                                                    |
|  E    |/CPMB/K1ICT1B|A      |FinConsol           |FinConsol                                                   |
|  E    |/CPMB/K1ICT1B|M      |FinConsol           |FinConsol                                                   |
|  E    |/CPMB/K1IQMHG|A      |RATE                |RATE                                                        |
|  E    |/CPMB/K1IQMHG|M      |RATE                |RATE                                                        |
|  E    |/CPMB/K1ITX2D|A      |Ownership           |Ownership                                                   |
|  E    |/CPMB/K1ITX2D|M      |Ownership           |Ownership                                                   |
|  E    |/CPMB/K1MA4YL|A      |PLANNING            |PLANNING                                                    |
|  E    |/CPMB/K1MA4YL|M      |PLANNING            |PLANNING                                                    |
|  E    |/CPMB/K1MCT1B|A      |FinConsol           |FinConsol                                                   |
|  E    |/CPMB/K1MCT1B|M      |FinConsol           |FinConsol                                                   |
|  E    |/CPMB/K1MQMHG|A      |RATE                |RATE                                                        |
|  E    |/CPMB/K1MQMHG|M      |RATE                |RATE                                                        |
|  E    |/CPMB/K1MTX2D|A      |Ownership           |Ownership                                                   |
|  E    |/CPMB/K1MTX2D|M      |Ownership           |Ownership                                                   |
|  E    |/CPMB/SKIG5GP|A      |PLANNING            |PLANNING                                                    |
|  E    |/CPMB/SKIG5GP|M      |PLANNING            |PLANNING                                                    |
|  E    |/CPMB/SKIIUQC|A      |FinConsol           |FinConsol                                                   |
|  E    |/CPMB/SKIIUQC|M      |FinConsol           |FinConsol                                                   |
|  E    |/CPMB/SKIK7SP|A      |Ownership           |Ownership                                                   |
|  E    |/CPMB/SKIK7SP|M      |Ownership           |Ownership                                                   |
|  E    |/CPMB/SKIMTTN|A      |FinDIP              |FinDIP                                                      |
|  E    |/CPMB/SKIMTTN|M      |FinDIP              |FinDIP                                                      |
|  E    |/CPMB/SKIRCSR|A      |FinFresh            |FinFresh                                                    |
|  E    |/CPMB/SKIRCSR|M      |FinFresh            |FinFresh                                                    |
|  E    |/CPMB/SKIU7AZ|A      |RATE                |RATE                                                        |
