19.04.2015                                                                                                                                               Dynamic List Display                                                                                                                                                      1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  ISOURCE                      |OBJVERS|APPLNM                      |COMSTRU                      |OWNER       |TSTPNM     |           TIMESTMP|CONTREL|       CONTTIMESTMP|BCTCOMP|ISSRCTYPE|INVISIBLE|TXTSH               |TXTMD                                   |TXTLG                                                       |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  0ACE_CALC_RESULT             |D      |FI                          |0ACE_CALC_RESULT             |SAP         |SAP        |20,030,613,154,709 |3.3/01 |20,030,613,154,709 |       |         |         |Accr. Engine Costing|Accrual Engine Costing Results          |Accrual Engine Costing Results                              |
|  0ACN_FACT_DATA               |D      |0ACN                        |0ACN_FACT_DATA               |SAP         |SAP        |20,000,911,135,836 |2.1/01 |20,000,911,135,836 |       |         |         |ACNielsen: KFs      |ACNielsen: Key Figures                  |ACNielsen: Key Figures                                      |
|  0ACN_STOCK_DATA              |D      |0ACN                        |0ACN_STOCK_DATA              |SAP         |SAP        |20,000,911,114,328 |2.1/01 |20,000,911,114,328 |       |         |         |Whse Stock ACN Mrkt.|Warehouse Stock for ACNielsen: Market   |Warehouse Stock for ACNielsen: Market                       |
|  0ACN_STOCK_UPDATE            |D      |0ACN                        |0ACN_STOCK_UPDATE            |SAP         |SAP        |20,000,911,104,120 |2.1/01 |20,000,911,104,120 |       |         |         |Stock Change        |Stock Change in the ACNielsen Market    |Stock Change in the ACNielsen Market                        |
|  0ACTIVITY_ATTR               |D      |PS-IO                       |0ACTIVITY_ATTR               |SAP         |SAP        |20,041,201,093,554 |3.5/03 |20,041,201,093,554 |       |         |         |NtwrkAct.-MasterData|Network Activity - Master Data          |Network Activity - Master Data                              |
|  0ACTIVITY_TEXT               |D      |PS-IO                       |0ACTIVITY_TEXT               |SAP         |SAP        |20,070,702,093,712 |7.0/03 |20,070,702,093,712 |       |         |         |Activity No. Network|Activity No. Network and Standard Netwrk|Activity Number Network and Standard Network - Texts        |
|  0ACTIVITY_USR_ATTR           |D      |PS-IO                       |0ACTIVITY_USR_ATTR           |SAP         |SAP        |20,070,717,125,427 |7.0/03 |20,070,717,125,427 |       |         |         |Network Activ.- User|Network Activity - User Fields          |Network Activity - User Fields                              |
|  0ACTY_ELEMT_ATTR             |D      |PS-IO                       |0ACTY_ELEMT_ATTR             |SAP         |SAP        |20,041,201,093,711 |3.5/03 |20,041,201,093,711 |       |         |         |Activity Element    |Network Activity Element - Master Data  |Network Activity Element - Master Data                      |
|  0ACTY_ELEMT_TEXT             |D      |PS-IO                       |0ACTY_ELEMT_TEXT             |SAP         |SAP        |20,070,702,085,349 |7.0/03 |20,070,702,085,349 |       |         |         |Number of Activity  |Number of Activity Element (Work/Externa|Number of Activity Element (Work/External/Costs) - Texts    |
|  0ACTY_ELEMT_USR_ATTR         |D      |PS-IO                       |0ACTY_ELEMT_USR_ATTR         |SAP         |SAP        |20,070,717,125,210 |7.0/03 |20,070,717,125,210 |       |         |         |Activity Element    |Network Activity Element - User Fields  |Network Activity Element - User Fields                      |
|  0AD_PM_EQM_1                 |D      |0IS_AD                      |0AD_PM_EQM_1                 |SAP         |SAP        |                 0 |2.0/02 |20,000,320,175,944 |       |         |         |MTBF, MTB indicators|MTBF, MTBUR, MTBF indicators            |MTBF, MTBUR, MTBF indicators                                |
|  0AFCONV                      |D      |0IS_AF-IO                   |0AFCONV                      |SAP         |SAP        |20,040,316,150,923 |3.5/02 |20,040,316,150,923 |       |         |         |AFS Conversion      |AFS Conversion                          |AFS Conversion                                              |
|  0AF_SEAN_ATTR                |D      |0IS_AF-IO                   |0AF_SEAN_ATTR                |SAP         |SAP        |20,031,210,131,809 |3.5/02 |20,031,210,131,809 |       |         |         |AFS Season, Collec. |AFS Season, Collection, Theme (Atribs)  |AFS Season, Collection, Theme (Atributes)                   |
