19.04.2015                                                                                  Dynamic List Display                                                                                          1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  OLTPSOURCE                    |LOGSYS    |OBJVERS|ISOURCE                      |TRANSTRU                  |ISOSTYPE|ISTYPE|TSTPNM  |           TIMESTMP|CONTREL|       CONTTIMESTMP|ISSRCTYPE|INVISIBLE|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  0ABCINDIC_TEXT                |P20CLNT023|A      |0ABCINDIC                    |                          |O       |T     |        |                 0 |       |                 0 |         |         |
|  0ABCINDIC_TEXT                |P20CLNT023|D      |0ABCINDIC                    |X                         |O       |T     |        |                 0 |7.0/02 |20,050,119,141,810 |         |         |
|  0ABCPROCESS_0107_HIER         |P20CLNT023|D      |0ABCPROCESS                  |                          |O       |H     |        |                 0 |2.0/02 |20,000,327,132,041 |         |         |
|  0ABCPROCESS_ATTR              |P20CLNT023|A      |0ABCPROCESS                  |                          |O       |M     |        |19,990,703,052,100 |       |                 0 |         |         |
|  0ABCPROCESS_ATTR              |P20CLNT023|D      |0ABCPROCESS                  |X                         |O       |M     |        |                 0 |2.0/02 |20,000,511,151,306 |         |         |
|  0ABCPROCESS_ATTR              |P20CLNT023|T      |0ABCPROCESS                  |                          |O       |M     |        |19,990,703,052,100 |       |                 0 |         |         |
|  0ABCPROCESS_TEXT              |P20CLNT023|D      |0ABCPROCESS                  |X                         |O       |T     |        |                 0 |2.0/02 |20,000,511,153,236 |         |         |
|  0ABORT_TEXT                   |P20CLNT023|D      |0ABORT                       |X                         |O       |T     |        |                 0 |3.3/01 |20,030,828,160,616 |         |         |
|  0AB_BILLDOC_TXT               |P20CLNT023|D      |0AB_BILLDOC                  |X                         |O       |T     |        |                 0 |7.0/02 |20,050,622,071,620 |         |         |
|  0AB_LFGRU_TXT                 |P20CLNT023|D      |0AB_LFGRU                    |X                         |O       |T     |        |                 0 |7.0/02 |20,050,622,070,238 |         |         |
|  0AB_RFBSK_TXT                 |P20CLNT023|D      |0AB_RFBSK                    |X                         |O       |T     |        |                 0 |7.0/02 |20,050,622,071,413 |         |         |
|  0AB_STATUS_TXT                |P20CLNT023|D      |0AB_STATUS                   |X                         |O       |T     |        |                 0 |7.0/03 |20,060,202,150,310 |         |         |
|  0AB_WRDOC_TXT                 |P20CLNT023|D      |0AB_WRDOC                    |X                         |O       |T     |        |                 0 |7.0/02 |20,050,622,071,133 |         |         |
|  0ACCNT_ASGN_ATTR              |ZFLATF_SAP|A      |0ACCNT_ASGN                  |0ACCNT_ASGN_ATTR_OC       |O       |M     |L589462 |20,000,824,185,545 |       |                 0 |         |         |
