19.04.2015                                        Dynamic List Display                                               1
----------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------
|  LANGU|LOGDPID                       |OBJVERS|VARIANT |TEXT                                                        |
----------------------------------------------------------------------------------------------------------------------
|  E    |0PAK_00TSNHB3J6ECRY008YAJARNL3|D      |CUSTOMER|Type of Data Read by the Database - Texts                   |
|  E    |0PAK_1B89EM3TYSQIIOE8N90S310HB|D      |CUSTOMER|Sales with IBase                                            |
|  E    |0PAK_3F5HT82FGSCKEHJPMLB2SRB1X|D      |CUSTOMER|0DBLOCACOD_TEXT                                             |
|  E    |0PAK_3F5HT8A3ZQY9X435SFDF2T9RP|D      |CUSTOMER|Sales with IBase                                            |
|  E    |0PAK_3F5HT8HSIPJZFQMLY9FRCV8HH|D      |CUSTOMER|0DBYRSBND_TEXT                                              |
|  E    |0PAK_3F5HT8PH1O5OYD6243I3MX779|D      |CUSTOMER|File with Dwell Time Calculation (Texts)                    |
|  E    |0PAK_3F5HT8X5KMREGZPI9XKFWZ5X1|D      |CUSTOMER|0DBCUSTAT_TEXT                                              |
|  E    |0PAK_3F5HT94U3LD3ZM8YFRMS714MT|D      |CUSTOMER|0DBEMPBND_TEXT                                              |
|  E    |0PAK_3F5HT9CIMJYTI8SELLP4H33CL|D      |CUSTOMER|Completion Status (Texts)                                   |
|  E    |0PAK_3F5HT9K75IKJ0VBURFRGR522D|D      |CUSTOMER|0DBSALBND_TEXT                                              |
|  E    |0PAK_3F5HT9RVOH68JHVAX9TT170S5|D      |CUSTOMER|Status Codes (Texts)                                        |
|  E    |0PAK_3F5HT9ZK7FRY24ER33W5B8ZHX|D      |CUSTOMER|Sales Organization Master Data                              |
|  E    |0PAK_3F5HTA78QEDNKQY78XYHLAY7P|D      |CUSTOMER|Customer Text                                               |
|  E    |0PAK_3F5HTAEX9CZD3DHNES0TVCWXH|D      |CUSTOMER|GIS Region Text                                             |
|  E    |0PAK_3F5HTAMLSBL2M013KM365EVN9|D      |CUSTOMER|0DBEMPBND_HIER                                              |
|  E    |0PAK_3F5HTAUABA6S4MKJQG5IFGUD1|D      |CUSTOMER|Country Text                                                |
|  E    |0PAK_3F5HTB1YU8SHN93ZWA7UPIT2T|D      |CUSTOMER|File Type (Texts)                                           |
|  E    |0PAK_3F5HTB9ND7E75VNG24A6ZKRSL|D      |CUSTOMER|Event (Texts)                                               |
|  E    |0PAK_3F5HTBHBW5ZWOI6W7YCJ9MQID|D      |CUSTOMER|Sales Organization Text                                     |
|  E    |0PAK_3F5HTBP0F4LM74QCDSEVJOP85|D      |CUSTOMER|Sold-to Party Master Data                                   |
|  E    |0PAK_3F5HTBWOY37BPR9SJMH7TQNXX|D      |CUSTOMER|Version Text                                                |
|  E    |0PAK_3F5HTC4DH1T18DT8PGJK3SMNP|D      |CUSTOMER|SD: Overview TD                                             |
|  E    |0PAK_3FBSRWOKSEW1RGFE7WMID32K5|D      |CUSTOMER|Product Text                                                |
|  E    |0PAK_3FBSRWW9BDHRA2YUDQOUN519X|D      |CUSTOMER|Container (SAP DEMO)                                        |
|  E    |0PAK_3FBSRX3XUC3GSPIAJKR6X6ZZP|D      |CUSTOMER|Container Size (SAP DEMO)                                   |
|  E    |0PAK_3FBSRXBMDAP6BC1QPETJ78YPH|D      |CUSTOMER|District (SAP DEMO)                                         |
|  E    |0PAK_3FBSRXJAW9AVTYL6V8VVHAXF9|D      |CUSTOMER|Group (SAP DEMO)                                            |
|  E    |0PAK_3FBSRXQZF7WLCL4N12Y7RCW51|D      |CUSTOMER|Chain (SAP DEMO)                                            |
|  E    |0PAK_3FBSRXYNY6IAV7O36X0K1EUUT|D      |CUSTOMER|Customer Group (SAP DEMO)                                   |
|  E    |0PAK_3FBSRY6CH540DU7JCR2WBGTKL|D      |CUSTOMER|Packaging Size (SAP DEMO)                                   |
|  E    |0PAK_3FBSRYE103PPWGQZIL58LISAD|D      |CUSTOMER|Key Account Manager (SAP DEMO)                              |
|  E    |0PAK_3FBSRYLPJ2BFF3AFOF7KVKR05|D      |CUSTOMER|Product Group (SAP DEMO)                                    |
|  E    |0PAK_3FBSRYTE20X4XPTVU99X5MPPX|D      |CUSTOMER|Subdistrict (SAP DEMO)                                      |
|  E    |0PAK_3FBSRZ12KZIUGCDC03C9FOOFP|D      |CUSTOMER|0AGE_HIER                                                   |
|  E    |0PAK_3FBSRZ8R3Y4JYYWS5XELPQN5H|D      |CUSTOMER|Sales Office Text                                           |
|  E    |0PAK_3FBSRZGFMWQ9HLG8BRGXZSLV9|D      |CUSTOMER|Customer Text                                               |
|  E    |0PAK_3FBSRZO45VBZ07ZOHLJA9UKL1|D      |CUSTOMER|Profitability Analysis TD                                   |
|  E    |0PAK_3FBSRZVSOTXOIUJ4NFLMJWJAT|D      |CUSTOMER|Value Type Text                                             |
|  E    |0PAK_3FBSS03H7SJE1H2KT9NYTYI0L|D      |CUSTOMER|Customer Accounting TD                                      |
|  E    |0PAK_3FBSS0B5QR53K3M0Z3QB40GQD|D      |CUSTOMER|Company code text                                           |
|  E    |0PAK_3FBSS0IU9PQT2Q5H4XSNE2FG5|D      |CUSTOMER|Sales Group Text                                            |
|  E    |0PAK_3FBSS0QISOCILCOXARUZO4E5X|D      |CUSTOMER|Material Group Text                                         |
|  E    |0PAK_3FBSS0Y7BMY83Z8DGLXBY6CVP|D      |CUSTOMER|Sales Region (SAP DEMO)                                     |
|  E    |0PAK_3FBSS15VULJXMLRTMFZO88BLH|D      |CUSTOMER|Material Master Data                                        |
|  E    |0PAK_3FBSS1DKDK5N58B9SA20IAAB9|D      |CUSTOMER|Distribution Channel Text                                   |
|  E    |0PAK_3FBSS1L8WIRCNUUPY44CSC911|D      |CUSTOMER|Division Text                                               |
|  E    |0PAK_3FBSS1SXFHD26HE63Y6P2E7QT|D      |CUSTOMER|Company Code Master Data                                    |
|  E    |0PAK_3FBSS20LYFYRP3XM9S91CG6GL|D      |CUSTOMER|Purchasing Organization Text                                |
|  E    |0PAK_3FBSS28AHEKH7QH2FMBDMI56D|D      |CUSTOMER|Vendor Text                                                 |
|  E    |0PAK_3FBSS2FZ0D66QD0ILGDPWK3W5|D      |CUSTOMER|Currency Type Text                                          |
|  E    |0PAK_3FBSS2NNJBRW8ZJYRAG26M2LX|D      |CUSTOMER|SD TD                                                       |
|  E    |0PAK_3FBSS2VC2ADLRM3EX4IEGO1BP|D      |CUSTOMER|Purchasing TD                                               |
|  E    |0PAK_3FBSS330L8ZBA8MV2YKQQQ01H|D      |CUSTOMER|Sales Personnel Text                                        |
|  E    |0PAK_3FBSS3AP47L0SV6B8SN30RYR9|D      |CUSTOMER|Product Hierarchy Text                                      |
|  E    |0PAK_3FBSS3IDN66QBHPREMPFATXH1|D      |CUSTOMER|Customer Master Data                                        |
|  E    |0PAK_3FBSS3Q264SFU497KGRRKVW6T|D      |CUSTOMER|Industry Sector Key Text                                    |
|  E    |0PAK_3FBSS3XQP3E5CQSNQAU3UXUWL|D      |CUSTOMER|Region Text                                                 |
|  E    |0PAK_3FBSS45F81ZUVDC3W4WG4ZTMD|D      |CUSTOMER|Plant Text                                                  |
