21.04.2015                                                                                                                                                                                                                                           Dynamic List Display                                                                                                                                                                                                                                                  1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  DTA                                     |DTA_TYPE|   RECORDS_ALL|REQUESTS_ALL|RECORDS_QUALOK|REQUESTS_QUALOK|RECORDS_ROLLUP|REQUESTS_ROLLUP|RECORDS_COMPR|REQUESTS_COMPR| RECORDS_ACTIV|REQUESTS_ACTIV|  RECORDS_PROC|REQUESTS_PROC|RECORDS_ERROR|REQUESTS_ERROR|RECORDS_TECHOK|REQUESTS_TECHOK|    TS_DATA_CHANGED|    TS_QUAL_CHANGED|    TS_ROLL_CHANGED|    TS_COMP_CHANGED|   TS_ACTIV_CHANGED|    TS_PROC_CHANGED|    TS_TECH_CHANGED|   TS_ERROR_CHANGED|DM_PSA_ALL|DM_PSA_EXIST|LAST_REQUEST|    TS_LAST_REQUEST|
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  /CPMB/ATIKOOK                           |CUBE    |        5,875 |          1 |        5,875 |             1 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |        5,875 |             1 |20,110,615,194,103 |20,110,615,194,103 |                 0 |                 0 |                 0 |                 0 |20,110,615,194,103 |                 0 |        0 |          0 |  1,216,949 |20,110,615,194,103 |
|  /CPMB/ATIRCJO                           |CUBE    |          480 |          1 |          480 |             1 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |          480 |             1 |20,110,615,193,929 |20,110,615,193,929 |                 0 |                 0 |                 0 |                 0 |20,110,615,193,929 |                 0 |        0 |          0 |  1,216,950 |20,110,615,193,929 |
|  /CPMB/K1ICT1B                           |CUBE    |    1,565,531 |         83 |    1,565,531 |            83 |            0 |             0 |   1,565,531 |           83 |            0 |            0 |            0 |           0 |           0 |            0 |    1,565,531 |            83 |20,150,417,123,240 |20,150,417,123,218 |                 0 |20,150,417,123,240 |                 0 |                 0 |20,150,417,123,218 |                 0 |        0 |          0 |  2,233,320 |20,150,417,123,214 |
|  /CPMB/SKD529I$T                         |FLEX_T  |            0 |          0 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |             0 |20,120,711,154,310 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |        0 |          0 |          0 |                 0 |
|  /CPMB/SKD8BJY$T                         |FLEX_T  |            0 |          0 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |             0 |20,110,728,193,251 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |        0 |          0 |          0 |                 0 |
|  /CPMB/SKDMEPX$T                         |FLEX_T  |            0 |          0 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |             0 |20,130,108,145,903 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |        0 |          0 |          0 |                 0 |
|  /CPMB/SKIIUQC                           |CUBE    |   28,598,481 |        535 |   28,598,481 |           535 |   11,304,192 |           201 |  11,304,192 |          201 |            0 |            0 |            0 |           0 |           0 |            0 |   28,598,481 |           535 |20,150,416,134,859 |20,150,416,134,859 |20,111,213,164,831 |20,111,209,183,853 |                 0 |                 0 |20,150,416,134,859 |                 0 |        0 |          0 |  2,231,676 |20,150,416,134,852 |
|  /CPMB/SKIIUQQ                           |CUBE    |            0 |          0 |            0 |             0 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |            0 |             0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |                 0 |        0 |          0 |          0 |                 0 |
|  /CPMB/SKIMTTN                           |CUBE    |   13,170,943 |        116 |   13,170,943 |           116 |            0 |             0 |           0 |            0 |            0 |            0 |            0 |           0 |           0 |            0 |   13,170,943 |           116 |20,120,828,195,120 |20,120,828,195,120 |                 0 |                 0 |                 0 |                 0 |20,120,828,195,120 |                 0 |        0 |          0 |  1,515,351 |20,120,828,195,117 |
