19.04.2015                                                                                                                                                                                                                                                                                      Dynamic List Display                                                                                                                                                                                                                                                                                              1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  TRANID                          |OBJVERS|OBJSTAT|CONTREL|       CONTTIMESTMP|OWNER   |BWAPPL|ACTIVFL|TSTPNM  |           TIMESTMP|SOURCETYPE|SOURCESUBTYPE|SOURCENAME                              |TARGETTYPE|TARGETSUBTYPE|TARGETNAME                |STARTROUTINE             |ENDROUTINE               |EXPERT                   |GLBCODE                  |TRANPROG                 |VERSION_CUR|TARGET_TAB_TYPE|IS_SHADOW|SHADOW_TRANID                   |GLBCODE2                 |ALL_FIELDS|ORGTRANID                       |TXTSH|TXTMD|TXTLG                                                       |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  00005F0YJRJ8OCLUKULA0UAN6UOX89B6|D      |INA    |7.0/03 |20,071,127,015,949 |SAP     |      |       |SAP     |20,071,127,015,949 |RSDS      |             |0GCC_GENOBJ_URPCL             ZFLATF_LEG|ODSO      |             |0GCC_URP                  |                         |                         |                         |                         |                         |         0 |               |         |0DV7DTAB0X049GQ5EMTF9LR8VH8FZ5NZ|                         |          |0DV7DTAB0X049GQ5EMTF9LR8VH8FZ5NZ|     |     |                                                            |
|  0002V8O3ASIAWKV6P4TUAIMLKA8KMM1N|D      |INA    |7.0/03 |20,070,119,174,312 |SAP     |      |       |SAP     |20,070,119,174,312 |RSDS      |             |0CCMS_ASR_DATA                P20CLNT023|CUBE      |             |0CCMSATTY                 |                         |                         |4NJ0DE3OIVD8S56H1U02EFOS1|4NJ0DEBD1TYYARPX7O2EOHNHT|                         |         0 |               |         |06XJQ855OU9VKDL3L9K3VFSN7F6HO16W|4NJ0DEJ1KSKNTE9DDI4QYJM7L|          |06XJQ855OU9VKDL3L9K3VFSN7F6HO16W|     |     |                                                            |
|  0008HSKP915CKT8UI2P222OCC2H4W1Y3|D      |INA    |7.0/03 |20,070,119,174,653 |SAP     |      |X      |SAP     |20,070,119,174,653 |RSDS      |             |0CCMS_WEBAS_STATREC_DATA      P2WCLNT023|CUBE      |             |0CCMSATTY                 |                         |                         |4H91SY4188R2VAJCUCXIAJHGT|4H91SYBPR7CSDX2T06ZUKLG6L|                         |         0 |               |         |0HOUP6EFQLZFWON0VCSBMG8OTPC8LB0D|4H91SYJEA5YHWJM96126UNEWD|          |0HOUP6EFQLZFWON0VCSBMG8OTPC8LB0D|     |     |                                                            |
|  000AM28OEIESVG9BIQTHU8LTGCM3CN9O|D      |INA    |7.0/03 |20,071,223,135,224 |SAP     |      |       |SAP     |20,071,223,135,224 |RSDS      |             |0GAE_SODCF                    ZFLAT2_SAP|ODSO      |             |0GAE_SODC                 |                         |                         |                         |4GWAKQ2L5H62MT1BY9K0RBMEL|                         |         0 |               |         |01VUUYJ4KOWQH9V8F3167HP61ZLO1QOA|4GWAKQA9OFRS5FKS43MD1DL4D|          |01VUUYJ4KOWQH9V8F3167HP61ZLO1QOA|     |     |                                                            |
|  000KWRYQDJ4BG8PAFO4BVS89CW6C43IE|A      |ACT    |       |                 0 |50487615|      |X      |DDIC    |20,130,302,223,122 |RSDS      |             |0CRM_MPK_R_TRANS              P2CCLNT023|ODSO      |             |ZO00161                   |                         |                         |                         |4T221ZG5I7VMXVFX06JDDYI41|4SZBF6P0Q3AVUX6BENGOIBO6P|         0 |               |         |                                |4T221ZNU16HCGHZD60LPO0GTT|          |0QRH74DEG53C4KC8P8FSAQKKBJQ3VJ9Y|     |     |                                                            |
|  000KWRYQDJ4BG8PAFO4BVS89CW6C43IE|M      |ACT    |       |                 0 |50487615|      |X      |50487615|20,130,123,172,513 |RSDS      |             |0CRM_MPK_R_TRANS              P2CCLNT023|ODSO      |             |ZO00161                   |                         |                         |                         |4T221ZG5I7VMXVFX06JDDYI41|4SZBF6P0Q3AVUX6BENGOIBO6P|         0 |               |         |                                |4T221ZNU16HCGHZD60LPO0GTT|          |0QRH74DEG53C4KC8P8FSAQKKBJQ3VJ9Y|     |     |                                                            |
|  000OXQ7U6KYX4R8FSPP50XGPVVOLCENQ|D      |INA    |7.0/03 |20,061,204,133,409 |SAP     |      |       |SAP     |20,061,204,133,409 |RSDS      |             |0TB_LOANCAPITALAMOUNTS_TRAN   R/3710    |TRCS      |             |0TB_AM_AM_18              |                         |                         |                         |                         |                         |         0 |               |X        |                                |                         |          |                                |     |     |                                                            |
|  000VQZLIHSBFF49VL13GBPBG7AEKHETV|D      |INA    |7.0/03 |20,071,129,222,601 |SAP     |      |       |SAP     |20,071,129,222,601 |RSDS      |             |0GCC_RULESET_TEXT             SAP_DEMO  |IOBJ      |TEXT         |0GCC_RULSET               |                         |                         |                         |                         |                         |         0 |               |         |0IM9DVIUD4U7FRLFEN3AVQ4ETMPQOFP2|                         |          |0IM9DVIUD4U7FRLFEN3AVQ4ETMPQOFP2|     |     |                                                            |
|  000XCKR89VY6L2NUOQGD26IS7VDT4IW6|D      |INA    |7.0/03 |20,071,224,044,550 |SAP     |      |X      |SAP     |20,071,224,044,550 |RSDS      |             |0GAE_COMPANY_ATTR             ZFLATF_LEG|IOBJ      |ATTR         |0GAE_COMPID               |                         |                         |                         |4GWB2J8VVV92EAHF0UZ01AG4T|                         |         0 |               |         |0QTKGSKH1YLOO8R0AN82QOSTN2NNRYBJ|4GWB2JGKETURWX0V6P1CBCEUL|          |0QTKGSKH1YLOO8R0AN82QOSTN2NNRYBJ|     |     |                                                            |
