19.04.2015                                                                                                                                  Dynamic List Display                                                                                                                                         1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  UPDID                    |OBJVERS|INFOCUBE     |ISOURCE                      |URPROGID                 |WIPROGID                 |       TIMESTMPCUBE|TSTPNM  |           TIMESTMP|OBJSTAT|CONTREL|       CONTTIMESTMP|OWNER   |BWAPPL|ACTIVFL|EXPERTMODE|STARTROUTINE|ODSPROGID                |TNAME|
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  000RP7W88MP6ZE7R4O4RVTU4V|D      |0GN_CAT_SAL  |0PROD_HIER_ATTR              |04A7ZVTEZE6J9QKVJZJTKH4GF|                         |20,021,205,102,351 |SAP     |20,021,218,154,726 |INA    |3.2/01 |20,021,218,154,726 |SAP     |      |       |          |            |                         |     |
|  001ZYE684AOUN25AAO1UQ6KRT|D      |0CCM_GLSN    |0CCMS_MTE_STATIC_MASTERDATA  |04BG923EV266XEIEPZGWETV3D|                         |20,031,007,130,257 |SAP     |20,031,230,092,843 |INA    |3.5/02 |20,031,230,092,843 |SAP     |      |       |          |        9998|                         |     |
|  00GA3UKMPUTNZF8R9MZ5OWQV0|D      |0GT_DS02     |2LIS_46_SCL                  |04PQEIHTGMB09RLVOYE7DK16K|                         |20,030,623,090,954 |SAP     |20,030,814,142,825 |INA    |3.3/01 |20,030,814,142,825 |SAP     |      |       |          |        9998|06UGJUGEU01OEXSFWM3Q7VOCC|     |
|  00K5BH14K00HK8TC9AA5L5A7M|A      |0FIAR_O09    |0FI_AR_9                     |04TLM4YBARHTUL6GOLP79SKJ6|                         |20,090,813,151,525 |50221927|20,090,813,151,836 |ACT    |       |                 0 |SAP     |      |X      |          |            |06YBRGWWO58HZRD0W9EQ447OY|     |
|  00K5BH14K00HK8TC9AA5L5A7M|D      |0FIAR_O09    |0FI_AR_9                     |04TLM4YBARHTUL6GOLP79SKJ6|                         |20,030,130,183,825 |SAP     |20,030,204,154,449 |INA    |3.2/01 |20,030,204,154,449 |SAP     |      |       |          |            |06YBRGWWO58HZRD0W9EQ447OY|     |
|  00K5BH14K00HK8TC9AA5L5A7M|M      |0FIAR_O09    |0FI_AR_9                     |04TLM4YBARHTUL6GOLP79SKJ6|                         |20,090,813,151,525 |50221927|20,090,813,151,836 |ACT    |       |                 0 |SAP     |      |X      |          |            |06YBRGWWO58HZRD0W9EQ447OY|     |
|  00UPTLK21BRM04P8PN2Z4G5NT|D      |0CPH_LODS    |0CCMS_CPH_LIFETIME_DATA      |054649H8S38YAH2D4YI0T3FZD|                         |20,031,014,083,525 |SAP     |20,040,202,095,934 |INA    |3.5/02 |20,040,202,095,934 |SAP     |      |       |          |        9998|078W9LFU5GZMFN8XCM7JNF355|     |
|  010HITJ1QR275U4WRM9P0LEI2|D      |0AFCONV_D$T  |0AFCONV                      |059XTHG8HIJJG6I16XOQP8OTM|                         |20,031,126,120,829 |SAP     |20,031,126,154,832 |INA    |3.5/02 |20,031,126,154,832 |SAP     |      |       |          |            |                         |     |
|  01AAC2B36K1GUIIVHG2L6Z0C9|D      |0MEMAMC11    |80MEMAMO05                   |05JQMQ89XBIT4UVZWRHMVMANT|07OGS26VAP9HA12K4F75PXXTL|20,040,119,132,144 |SAP     |20,040,119,133,800 |INA    |3.5/02 |20,040,119,133,800 |SAP     |      |       |          |            |                         |     |
|  02C82GAIP4L18V66W67TA7PNZ|D      |0QM_DS02     |2LIS_05_QE2                  |06LOD47PFW2DJ7JBBHMUYUZZJ|                         |20,030,919,124,750 |SAP     |20,040,301,122,434 |INA    |3.5/02 |20,040,301,122,434 |SAP     |      |       |          |        9998|08QEIG6AT9T1ODPVJ5CDT6N5B|     |
|  02EAHZGJBFNVYT2EPFYGX3E6Q|D      |0GLACCEXT$T  |0FUNC_AREA_TEXT              |06NQSNDQ275895FJ4RDILQOIA|                         |20,030,124,132,929 |SAP     |20,030,124,141,436 |INA    |3.2/01 |20,030,124,141,436 |SAP     |      |       |          |            |                         |     |
|  02HCVS5LT2866TCCC7CSXTN6A|D      |0DBLABSUR$T  |0DBDUNS_APPENDIX_TEXT_1      |06QT6G2SJTPIH5PGRIRUMGXHU|                         |20,030,110,115,845 |SAP     |20,030,115,124,144 |INA    |3.2/01 |20,030,115,124,144 |SAP     |      |       |          |        9998|                         |     |
|  02KVB5MVIMSBCNFKCB0OK0J33|D      |0QM_C03      |2LIS_07_S296                 |06UBLTK29E9NMZSORMFQ8NTEN|08Z1R5INMS0BS5Z8ZA592ZGKF|19,990,810,174,456 |SAP     |19,990,810,174,457 |INA    |2.0/01 |                 0 |SAP     |      |       |          |            |                         |     |
|  02OC2U76U3GWVSJ52JILKISPR|D      |0PH_PROD$T   |0IMSU_E_6                    |06XSDI4DKUY964W9HUXN9631B|                         |20,020,215,151,441 |SAP     |20,020,216,152,934 |INA    |3.0/02 |20,020,216,152,934 |SAP     |      |       |          |            |                         |     |
|  02V3NAFYNF4CWMU96BX74YE27|D      |0EIH_DS02    |0EHS_IH_IA_1                 |074JXYD5E6LP6Z7DLNC8TLODR|                         |20,050,616,140,636 |SAP     |20,050,616,140,712 |INA    |7.0/02 |20,050,616,140,712 |SAP     |      |       |          |            |099A3ABQRKCDC5DXTB1RNXBJJ|     |
