21.04.2015                                                                                                  Dynamic List Display                                                                                                          1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  ELTUID                   |OBJVERS|DEFTP|SUBDEFTP|REUSABLE|ISCELL|DEFAULTTEXT|MAPNAME                       |SOURCE_ELTUID|DEFAULTHINT|DEFAULTHINTFLAG|TXTSH               |TXTLG                                                       |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  0100ETQQW4JBYA790Z734KMVD|A      |REP  |REP     |X       |      |           |0TCT_MC01_Q0333               |             |           |               |                    |Pre-Query: Short-Term Max in Total Runtimes of InfoProviders|
|  02MYU59C4SNA1JIU6BT2ZR067|A      |REP  |REP     |X       |      |           |0SD_C03_Q007                  |             |           |               |                    |Billing documents                                           |
|  08MXVTZC1ENECNI6AI713JFRS|A      |REP  |REP     |X       |      |           |0TCT_MC21_Q0102               |             |           |               |                    |Deviations in Total Runtimes of Process Chains              |
|  0C0FVFS7LY2PXKJUZF811P5ZB|A      |REP  |REP     |X       |      |           |0SD_C04_Q0002                 |             |           |               |                    |Delivery delays Per Sales Area                              |
|  0IFUOPRTFWXNV8BKK77PUTTP3|A      |REP  |REP     |X       |      |           |0TCT_MC12_Q0210               |             |           |               |                    |Process Status: Analysis                                    |
|  0NPFUL9OJ5AQENDZZUDSUBFBD|A      |REP  |REP     |X       |      |           |0BBP_DS1_Q010                 |             |           |               |                    |Purchase Order Values per Contract                          |
|  0ODCQVY51BG9QQRWNRBNK3MI8|A      |REP  |REP     |X       |      |           |0TCT_MC01_Q0413               |             |           |               |                    |Short-Term Trends in Total Runtimes of a BI Application     |
|  0T2IBH14X8LY81EJT1ZJ4EAOM|A      |REP  |REP     |X       |      |           |0TCT_MC01_Q0122               |             |           |               |                    |Deviations in Runtimes of BI Application Objects            |
|  118KVK4UAFGNTXDWUMB05NELC|A      |REP  |REP     |X       |      |           |0BBP_DS1_Q006                 |             |           |               |                    |Variance Invoice Value - Order Value                        |
|  177Y1X1GDEQB7HS5I4732UGLY|A      |REP  |REP     |X       |      |           |0TCT_MC12_Q0110               |             |           |               |                    |Process Status                                              |
|  1CHYOOO2SQ166Z1T0O612L40M|A      |REP  |REP     |X       |      |           |0TCT_MC21_Q0101               |             |           |               |                    |Total Runtimes of Process Chains                            |
|  1GI8OR1HO75GNU0J0XOZ1UE13|A      |REP  |REP     |X       |      |           |0SD_C04_Q0003                 |             |           |               |                    |Delivery delay quantity view in order unit for material     |
|  1J55D7YTPB83FPMV67BWJEMQF|A      |REP  |REP     |X       |      |           |0TCT_MC23_Q0102               |             |           |               |                    |Deviations in Total Runtimes of InfoPackages                |
|  1M1UOS8RSPWPS09FPG8OW5QCF|A      |REP  |REP     |X       |      |           |0SD_C03_Q008                  |             |           |               |                    |Fulfillment rate                                            |
|  2ACO0S5FF8J0RC20QQPX1RCLZ|A      |REP  |REP     |X       |      |           |0TCT_MC01_Q0313               |             |           |               |                    |Pre-Query: Short-Term Max. in Total Runtimes of BI Applicat.|
|  2AN3T2F27A3XFVNGEF7LLA1EO|A      |REP  |REP     |X       |      |           |0BBP_DS1_Q004                 |             |           |               |                    |Open Items (Invoices)                                       |
|  2B04Y736PMGVZ4B94BY8Y8L8Q|A      |REP  |        |X       |      |           |                              |             |           |               |New Query           |Procurement Values According to Product Categories          |
|  2B140CNN3CI5G77RKVP1S9GUV|A      |REP  |REP     |X       |      |           |0TCT_MC02_Q0200               |             |           |               |                    |Detailed Query Runtime Statistics: Analysis                 |
|  2IFVC6QJK5F272FB96AVO4KHC|A      |REP  |REP     |X       |      |           |0TCT_MC01_Q0423               |             |           |               |                    |Short-Term Trends in Total Runtimes of a BI Application Obj.|
|  2JM2P2ZVXOOAQ3CNZJ2F44NNT|A      |REP  |REP     |X       |      |           |0TCT_MC01_Q0131               |             |           |               |                    |Runtimes of InfoProviders                                   |
|  2NKTPA7VD6LWWDBY1S4ROR6OW|A      |REP  |REP     |X       |      |           |0BBP_DS1_Q002                 |             |           |               |                    |Open Items (Confirmations)                                  |
|  2R22ZAH18PCTCSCJSEENK8UXS|A      |REP  |REP     |X       |      |           |0BBP_DS1_Q001                 |             |           |               |                    |Actual Values per Purchase Order                            |
|  38JIVUAD7515DJBEIZD9EN068|A      |REP  |        |X       |      |           |                              |             |           |               |New query           |Test Query Migration                                        |
